,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1,Kevin Durant,OKC,22,78,52,26,3038,2161,711,1538,46.2,145,414,35,594,675,88,57,476,533,214,218,88,76,159,14,0,271
2,LeBron James,MIA,26,79,57,22,3063,2111,758,1485,51,92,279,33,503,663,75.9,80,510,590,554,284,124,50,163,31,4,619
3,Kobe Bryant,LAL,32,82,57,25,2778,2078,740,1639,45.1,115,356,32.3,483,583,82.8,83,336,419,388,243,99,12,172,9,1,422
4,Derrick Rose,CHI,22,81,62,19,3026,2026,711,1597,44.5,128,385,33.2,476,555,85.8,81,249,330,623,278,85,51,136,23,1,498
5,Amar'e Stoudemire,NYK,28,78,39,39,2870,1971,744,1482,50.2,10,23,43.5,473,597,79.2,198,438,636,202,250,71,150,274,26,0,62
6,Carmelo Anthony,NYK,27,77,43,34,2751,1970,684,1503,45.5,95,251,37.8,507,605,83.8,118,445,563,221,206,68,46,224,18,0,186
7,Dwyane Wade,MIA,29,76,54,22,2823,1941,692,1384,50,63,206,30.6,494,652,75.8,123,362,485,346,237,111,87,197,10,1,572
8,Monta Ellis,GSW,25,80,35,45,3226,1929,726,1611,45.1,137,379,36.1,340,431,78.9,44,237,281,450,252,168,23,203,10,0,-231
9,Kevin Martin,HOU,28,80,42,38,2602,1876,553,1267,43.6,176,459,38.3,594,669,88.8,28,230,258,198,184,80,15,155,0,0,163
10,Blake Griffin,LAC,22,82,32,50,3112,1845,696,1376,50.6,7,24,29.2,446,695,64.2,270,719,989,312,223,63,45,252,63,2,-146
11,Russell Westbrook,OKC,22,82,55,27,2848,1793,614,1390,44.2,34,103,33,531,631,84.2,121,258,379,670,316,155,30,207,31,3,117
12,Dwight Howard,ORL,25,78,51,27,2935,1784,619,1044,59.3,0,7,0,546,916,59.6,309,789,1098,107,279,107,186,258,66,0,498
13,LaMarcus Aldridge,POR,25,81,48,33,3212,1769,707,1415,50,4,23,17.4,351,444,79.1,278,431,709,170,153,82,94,220,36,0,288
14,Dirk Nowitzki,DAL,33,73,55,18,2504,1681,610,1179,51.7,66,168,39.3,395,443,89.2,50,463,513,190,137,38,47,172,16,0,541
15,Brook Lopez,NJN,23,82,24,58,2889,1673,644,1309,49.2,0,1,0,385,489,78.7,197,291,488,129,176,47,120,240,9,0,-314
16,Danny Granger,IND,28,79,36,43,2763,1622,535,1260,42.5,157,407,38.6,395,466,84.8,87,338,425,203,206,89,62,213,5,0,-18
17,Pau Gasol,LAL,30,82,57,25,3037,1541,593,1120,52.9,1,3,33.3,354,430,82.3,268,568,836,273,142,48,130,203,43,1,531
18,Al Jefferson,UTA,26,82,39,43,2940,1528,654,1319,49.6,0,0,0,220,289,76.1,235,559,794,149,105,46,153,238,37,0,-170
19,Paul Pierce,BOS,33,80,55,25,2774,1511,507,1021,49.7,111,297,37.4,386,449,86,34,396,430,260,171,80,51,231,7,1,594
20,Zach Randolph,MEM,29,75,43,32,2724,1504,598,1188,50.3,8,43,18.6,300,396,75.8,326,588,914,163,151,63,25,175,53,0,263
21,Kevin Love,MIN,22,73,17,56,2611,1476,482,1026,47,88,211,41.7,424,499,85,330,782,1112,184,155,45,28,148,64,0,-272
22,Chris Bosh,MIA,27,77,55,22,2795,1438,524,1056,49.6,6,25,24,384,471,81.5,141,500,641,144,138,59,49,172,28,0,603
23,Luol Deng,CHI,26,82,62,20,3208,1430,531,1155,46,115,333,34.5,253,336,75.3,116,360,476,230,156,78,48,162,8,0,520
24,Andrea Bargnani,TOR,25,66,19,47,2353,1414,525,1173,44.8,77,223,34.5,287,350,82,74,269,343,119,152,34,46,160,2,0,-314
25,DeMar DeRozan,TOR,21,82,22,60,2851,1410,539,1154,46.7,5,52,9.6,327,402,81.3,75,240,315,148,144,85,31,217,1,0,-409
26,Michael Beasley,MIN,22,73,14,59,2361,1401,561,1246,45,60,164,36.6,219,291,75.3,118,291,409,158,195,54,52,222,8,0,-278
27,Manu Ginobili,SAS,33,80,61,19,2425,1393,441,1018,43.3,154,441,34.9,357,410,87.1,42,253,295,393,174,123,28,163,0,0,541
28,Stephen Curry,GSW,23,74,33,41,2489,1373,505,1053,48,151,342,44.2,212,227,93.4,52,234,286,432,226,109,20,233,5,0,-17
29,Tony Parker,SAS,29,78,60,18,2528,1368,555,1069,51.9,25,70,35.7,233,303,76.9,30,208,238,513,200,90,3,135,9,0,309
30,Luis Scola,HOU,31,74,38,36,2412,1352,569,1129,50.4,0,3,0,214,290,73.8,147,459,606,185,147,48,44,227,19,0,227
31,Dorell Wright,GSW,25,82,36,46,3147,1344,485,1146,42.3,194,516,37.6,180,228,78.9,88,343,431,242,133,124,63,171,7,0,-133
32,David West,NOH,30,70,40,30,2450,1322,528,1040,50.8,2,9,22.2,264,327,80.7,155,374,529,164,142,67,62,202,16,0,147
33,Ray Allen,BOS,35,80,55,25,2890,1321,480,978,49.1,168,378,44.4,193,219,88.1,51,223,274,219,117,77,16,147,0,0,456
34,Paul Millsap,UTA,26,76,36,40,2605,1315,525,988,53.1,9,23,39.1,256,338,75.7,164,415,579,187,145,103,69,272,19,0,12
35,Joe Johnson,ATL,30,72,38,34,2554,1312,514,1161,44.3,89,300,29.7,195,243,80.2,59,232,291,338,146,47,7,131,2,0,85
36,Deron Williams,NJN,27,65,33,32,2465,1309,428,975,43.9,105,317,33.1,348,412,84.5,40,220,260,667,230,79,15,190,34,0,-118
37,Wesley Matthews,POR,24,82,48,34,2758,1300,440,979,44.9,154,378,40.7,266,315,84.4,48,210,258,164,138,102,9,195,1,0,154
38,Jason Terry,DAL,33,82,57,25,2564,1293,492,1091,45.1,127,351,36.2,182,214,85,24,129,153,334,167,93,13,140,1,0,330
39,Josh Smith,ATL,25,77,43,34,2645,1274,497,1041,47.7,51,154,33.1,229,316,72.5,134,523,657,255,197,99,120,217,31,1,74
40,Chris Paul,NOH,26,80,45,35,2880,1268,430,928,46.3,71,183,38.8,337,384,87.8,38,289,327,782,177,188,5,196,32,0,256
41,Jason Richardson,ORL,30,80,47,33,2715,1249,472,1056,44.7,189,479,39.5,116,159,73,67,264,331,147,95,93,13,162,1,0,262
42,Eric Gordon,LAC,22,56,25,31,2112,1247,427,949,45,106,291,36.4,287,348,82.5,45,119,164,244,151,71,18,115,1,0,1
43,Stephen Jackson,CHA,33,67,30,37,2404,1240,435,1059,41.1,121,359,33.7,249,305,81.6,53,251,304,241,209,80,28,161,3,1,-251
44,Elton Brand,PHI,32,81,41,40,2809,1217,502,981,51.2,0,1,0,213,273,78,237,439,676,120,101,92,106,244,24,0,133
45,Chauncey Billups,NYK,34,72,38,34,2310,1208,339,794,42.7,146,363,40.2,384,419,91.6,25,165,190,387,177,71,14,146,2,0,119
46,David Lee,GSW,28,73,35,38,2634,1203,496,978,50.7,1,3,33.3,210,267,78.7,217,497,714,233,170,74,31,211,37,0,-120
47,Lamar Odom,LAL,31,82,57,25,2639,1180,473,893,53,68,178,38.2,166,246,67.5,175,535,710,249,139,47,61,200,28,0,380
48,Al Horford,ATL,25,77,41,36,2704,1178,513,921,55.7,2,4,50,150,188,79.8,182,536,718,266,119,59,80,193,36,0,46
48,D.J. Augustin,CHA,23,82,34,48,2757,1178,399,958,41.6,111,333,33.3,269,297,90.6,38,187,225,498,155,54,3,152,7,0,-256
50,Raymond Felton,DEN,27,75,44,31,2737,1164,427,1005,42.5,116,329,35.3,194,241,80.5,48,221,269,625,221,125,11,150,27,1,133
51,Jrue Holiday,PHI,21,82,41,41,2901,1145,446,999,44.6,81,222,36.5,172,209,82.3,68,264,332,531,218,120,29,203,15,1,175
52,DeMarcus Cousins,SAC,20,81,23,58,2309,1143,432,1004,43,3,18,16.7,276,402,68.7,217,482,699,204,268,85,68,332,26,0,-261
53,John Wall,WAS,20,69,19,50,2606,1131,398,972,40.9,34,115,29.6,301,393,76.6,35,282,317,574,261,121,35,175,26,1,-440
54,Nick Young,WAS,26,64,14,50,2034,1115,412,935,44.1,105,271,38.7,186,228,81.6,26,148,174,75,90,45,17,144,0,0,-279
55,Gerald Wallace,POR,28,71,36,35,2693,1113,386,851,45.4,62,186,33.3,279,374,74.6,111,458,569,173,152,105,63,183,18,0,117
56,Mike Conley,MEM,23,81,46,35,2872,1107,423,953,44.4,80,217,36.9,181,247,73.3,32,215,247,528,176,144,18,182,7,0,296
57,Steve Nash,PHX,37,75,39,36,2497,1106,399,811,49.2,81,205,39.5,227,249,91.2,40,220,260,855,265,48,4,87,41,0,287
58,JJ Hickson,CLE,22,80,19,61,2256,1105,429,936,45.8,0,5,0,247,367,67.3,217,478,695,91,173,48,54,215,28,0,-531
59,Wilson Chandler,DEN,24,72,41,31,2400,1100,429,953,45,112,320,35,130,161,80.7,75,333,408,120,104,48,94,199,6,0,174
60,Tayshaun Prince,DET,31,78,29,49,2562,1098,473,1001,47.3,34,98,34.7,118,168,70.2,78,251,329,215,82,30,41,90,4,0,-135
61,Nene,DEN,28,75,46,29,2291,1091,402,654,61.5,1,5,20,286,402,71.1,145,426,571,149,134,84,73,238,14,0,322
62,Beno Udrih,SAC,28,79,24,55,2734,1086,412,824,50,65,182,35.7,197,228,86.4,41,224,265,386,141,94,9,181,4,0,-272
63,Rodney Stuckey,DET,25,70,25,45,2183,1082,363,827,43.9,26,90,28.9,330,381,86.6,70,146,216,361,155,76,10,177,7,0,-81
64,Devin Harris,UTA,28,71,24,47,2254,1079,343,813,42.2,58,180,32.2,335,402,83.3,17,152,169,503,207,70,7,163,9,0,-209
65,Jamal Crawford,ATL,31,76,40,36,2297,1077,368,874,42.1,119,349,34.1,222,260,85.4,22,108,130,241,145,57,14,97,0,0,5
66,Andray Blatche,WAS,24,64,21,43,2172,1076,426,957,44.5,4,18,22.2,220,283,77.7,183,343,526,144,172,98,51,182,17,0,-246
67,Ramon Sessions,CLE,25,81,19,62,2133,1075,362,776,46.6,3,15,20,348,423,82.3,46,209,255,419,178,60,8,93,7,0,-497
68,Rudy Gay,MEM,24,54,30,24,2152,1069,409,869,47.1,57,144,39.6,194,241,80.5,82,254,336,153,135,91,58,131,4,0,140
69,Grant Hill,PHX,38,80,39,41,2409,1056,399,825,48.4,45,114,39.5,213,257,82.9,77,261,338,200,134,64,35,184,4,0,45
69,Kevin Garnett,BOS,35,71,49,22,2220,1056,434,822,52.8,1,5,20,187,217,86.2,83,548,631,171,115,95,57,148,28,0,553
71,Thaddeus Young,PHI,23,82,41,41,2135,1045,458,847,54.1,6,22,27.3,123,174,70.7,153,281,434,82,99,90,26,170,2,0,163
72,Darren Collison,IND,23,79,36,43,2360,1039,398,870,45.7,41,124,33.1,202,232,87.1,40,185,225,403,194,87,14,109,4,0,-137
73,Carlos Boozer,CHI,29,59,47,12,1882,1033,431,845,51,0,0,0,171,244,70.1,130,435,565,145,149,45,18,186,30,0,275
