,Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,03:00:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-,PosicAbbrev,SALARY
0,Aaron Brooks,CHI,31,69,36,33,16.1,2.7,6.8,40.1,1.0,2.7,35.7,0.7,0.9,76.6,0.3,1.2,1.5,2.6,1.2,0.4,0.1,1.9,0,0,7.1,-0.1, PG,2250000.0
1,Aaron Gordon,ORL,20,78,32,46,23.9,3.5,7.4,47.3,0.5,1.8,29.6,1.7,2.5,66.8,2.0,4.5,6.5,1.6,0.8,0.8,0.7,2.0,12,0,9.2,-1.0, PF,4171680.0
2,Aaron Harrison,CHA,21,21,15,6,4.4,0.2,0.9,26.3,0.1,0.5,30.0,0.2,0.6,41.7,0.2,0.5,0.7,0.1,0.2,0.3,0.0,0.5,0,0,0.9,-0.3, SG,525093.0
3,Adreian Payne,MIN,25,52,18,34,9.3,1.0,2.8,36.6,0.2,0.6,28.1,0.3,0.5,65.4,0.4,1.8,2.1,0.6,0.7,0.3,0.2,1.5,0,0,2.5,-2.3, PF,1938840.0
4,Al Horford,ATL,30,82,48,34,32.1,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,1.8,5.5,7.3,3.2,1.3,0.8,1.5,2.0,17,0,15.2,2.8, C,12000000.0
5,Al Jefferson,CHA,31,47,33,14,23.3,5.2,10.7,48.5,0.0,0.0,0.0,1.5,2.4,64.9,1.2,5.2,6.4,1.5,0.7,0.6,0.9,2.5,7,0,12.0,1.0, C,13500000.0
6,Al-Farouq Aminu,POR,25,82,44,38,28.5,3.6,8.8,41.6,1.5,4.3,36.1,1.4,1.9,73.7,1.2,4.9,6.1,1.7,1.5,0.9,0.6,2.1,8,0,10.2,0.7, SF,8042895.0
7,Alan Anderson,WAS,33,13,8,5,14.8,1.6,4.5,35.6,0.9,2.8,32.4,0.8,1.2,73.3,0.1,2.0,2.1,1.1,0.2,0.3,0.1,1.9,0,0,5.0,2.3, SG,1315000.0
8,Alan Williams,PHX,23,10,3,7,6.8,1.0,2.4,41.7,0.0,0.0,0.0,0.9,1.4,64.3,1.4,2.4,3.8,0.5,0.6,0.4,0.5,1.5,1,0,2.9,0.1, PF,83397.0
9,Alec Burks,UTA,24,31,13,18,25.7,4.4,10.8,41.0,1.0,2.5,40.5,3.4,4.5,75.2,0.5,3.0,3.5,2.0,1.6,0.6,0.1,2.3,0,0,13.3,-0.4, SG,9463484.0
10,Alex Len,PHX,23,78,23,55,23.3,3.4,8.0,42.3,0.0,0.1,14.3,2.2,3.1,72.8,2.3,5.3,7.6,1.2,1.9,0.5,0.8,2.9,19,0,9.0,-3.7, C,3807120.0
11,Alex Stepheson,MEM,28,8,2,6,9.0,1.1,3.4,33.3,0.0,0.0,0.0,0.5,1.5,33.3,2.4,1.1,3.5,0.3,0.0,0.1,0.6,1.5,1,0,2.8,-0.3, PF,50000.0
12,Alexis Ajinca,NOP,28,59,20,39,14.6,2.5,5.3,47.6,0.0,0.0,0.0,0.9,1.1,83.9,1.3,3.3,4.6,0.5,0.9,0.3,0.6,2.3,4,0,6.0,-1.1, C,4389607.0
13,Allen Crabbe,POR,24,81,43,38,26.0,3.8,8.4,45.9,1.4,3.5,39.3,1.2,1.4,86.7,0.3,2.3,2.7,1.2,0.8,0.8,0.2,2.4,0,0,10.3,0.5, SG,18500000.0
14,Alonzo Gee,NOP,29,73,27,46,22.4,1.8,3.5,51.8,0.2,0.8,28.3,0.6,0.9,66.7,0.8,2.5,3.4,1.0,0.8,0.9,0.2,2.3,0,0,4.5,-2.7, SF,1320000.0
15,Amar'e Stoudemire,MIA,33,52,30,22,14.7,2.4,4.3,56.6,0.0,0.0,0.0,1.0,1.3,74.6,1.3,3.0,4.3,0.5,0.9,0.3,0.8,1.8,2,0,5.8,0.2, C,1499187.0
16,Amir Johnson,BOS,29,79,45,34,22.8,3.2,5.4,58.5,0.1,0.5,23.3,0.9,1.5,57.0,2.3,4.1,6.4,1.7,1.2,0.7,1.1,2.7,8,0,7.3,1.7, PF,5500000.0
17,Anderson Varejao,GSW,33,53,41,12,9.4,1.0,2.3,42.7,0.0,0.0,0.0,0.6,0.9,64.0,0.7,2.0,2.7,0.7,0.4,0.3,0.2,1.3,0,0,2.6,0.4, C,289755.0
18,Andre Drummond,DET,22,81,43,38,32.9,6.8,13.1,52.1,0.0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3.0,66,0,16.2,1.6, C,3272091.0
19,Andre Iguodala,GSW,32,65,59,6,26.6,2.7,5.7,47.8,0.8,2.4,35.1,0.8,1.3,61.4,0.8,3.2,4.0,3.4,1.2,1.1,0.3,1.6,1,0,7.0,7.0, SF,11710456.0
20,Andre Miller,SAS,40,39,20,19,11.8,1.5,2.7,55.7,0.1,0.2,25.0,0.6,0.8,75.0,0.3,1.0,1.3,2.2,0.9,0.4,0.0,1.2,0,0,3.7,0.8, PG,250750.0
21,Andre Roberson,OKC,24,70,48,22,22.2,1.9,3.9,49.6,0.5,1.5,31.1,0.5,0.8,61.1,1.1,2.5,3.6,0.7,0.5,0.8,0.6,1.9,0,0,4.8,3.7, SF,1210800.0
22,Andrea Bargnani,BKN,30,46,11,35,13.8,2.8,6.1,45.5,0.1,0.3,18.8,1.0,1.2,82.5,0.6,1.5,2.1,0.4,0.6,0.1,0.2,1.3,0,0,6.6,-4.2, C,1362897.0
23,Andrew Bogut,GSW,31,70,62,8,20.7,2.5,4.0,62.7,0.0,0.0,100.0,0.3,0.7,48.0,1.7,5.3,7.0,2.3,1.2,0.5,1.6,3.2,5,0,5.4,5.7, C,13800000.0
24,Andrew Goudelock,HOU,27,8,5,3,6.2,1.1,2.5,45.0,0.1,1.1,11.1,0.4,0.5,75.0,0.1,0.1,0.3,0.5,0.9,0.8,0.3,0.5,0,0,2.8,1.3, PG,200600.0
25,Andrew Nicholson,ORL,26,56,22,34,14.7,2.6,5.5,47.1,0.7,2.0,36.0,0.9,1.2,78.5,0.6,3.0,3.6,0.4,0.7,0.2,0.4,1.2,0,0,6.9,0.6, PF,2380593.0
26,Andrew Wiggins,MIN,21,81,29,52,35.1,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,1,0,20.7,-0.8, SF,5758680.0
27,Anthony Bennett,TOR,23,19,12,7,4.4,0.4,1.4,29.6,0.2,0.7,21.4,0.5,0.5,90.0,0.3,0.9,1.2,0.0,0.2,0.3,0.0,0.4,0,0,1.5,-1.6, PF,947276.0
28,Anthony Brown,LAL,23,29,4,25,20.6,1.3,4.3,31.0,0.7,2.4,28.6,0.6,0.7,85.0,0.3,2.1,2.4,0.7,0.5,0.5,0.2,1.2,0,0,4.0,-1.2, SF,700000.0
29,Anthony Davis,NOP,23,61,24,37,35.5,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,36,0,24.3,-3.3, PF,7070730.0
30,Anthony Morrow,OKC,30,68,46,22,13.6,2.0,4.9,40.8,1.2,3.0,38.7,0.4,0.6,74.4,0.1,0.8,0.9,0.4,0.3,0.3,0.1,0.9,0,0,5.6,1.6, SG,3344000.0
31,Anthony Tolliver,DET,31,72,36,36,18.6,1.8,4.6,38.6,1.4,3.8,36.0,0.4,0.7,61.7,0.5,2.6,3.2,0.7,0.4,0.4,0.2,1.2,0,0,5.3,0.1, PF,3000000.0
32,Archie Goodwin,PHX,21,57,14,43,19.5,3.1,7.4,41.7,0.4,1.7,23.2,2.3,3.4,67.4,0.5,2.0,2.5,2.1,1.8,0.5,0.2,1.5,1,0,8.9,-3.7, SG,1160160.0
