,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PosicAbbrev
0,Aaron Brooks,CHI,31,69,36,33,1108,0.443140794224,0.169675090253,0.423285198556,40.1,0.0595667870036,0.166967509025,35.7,0.0442238267148,0.057761732852,76.6,0.0189530685921,0.072202166065,0.091155234657,0.162454873646,0.0740072202166,0.0270758122744,0.00902527075812,0.119133574007,0.0,0.0,-0.00902527075812, PG
1,Aaron Gordon,ORL,20,78,32,46,1863,0.385936661299,0.147074610843,0.310789049919,47.3,0.0225442834138,0.0762211486849,29.6,0.0692431561997,0.103596349973,66.8,0.0826623725174,0.189479334407,0.272141706924,0.068706387547,0.0354267310789,0.0316693505099,0.0295222758991,0.0821256038647,0.00644122383253,0.0,-0.040794417606, PF
2,Aaron Harrison,CHA,21,21,15,6,93,0.193548387097,0.0537634408602,0.204301075269,26.3,0.0322580645161,0.10752688172,30.0,0.0537634408602,0.129032258065,41.7,0.0430107526882,0.118279569892,0.161290322581,0.0215053763441,0.0430107526882,0.0645161290323,0.0,0.10752688172,0.0,0.0,-0.0752688172043, SG
3,Adreian Payne,MIN,25,52,18,34,486,0.271604938272,0.109053497942,0.298353909465,36.6,0.0185185185185,0.0658436213992,28.1,0.0349794238683,0.0534979423868,65.4,0.0411522633745,0.187242798354,0.228395061728,0.059670781893,0.0740740740741,0.0329218106996,0.022633744856,0.158436213992,0.0,0.0,-0.246913580247, PF
4,Al Horford,ATL,30,82,48,34,2631,0.474724439377,0.201064234132,0.398327632079,50.5,0.0334473584189,0.0973014063094,34.4,0.0391486126948,0.0490307867731,79.8,0.0562523755226,0.170277461041,0.226529836564,0.0999619916382,0.0406689471684,0.0258456860509,0.0459901178259,0.0619536297986,0.00646142151273,0.0,0.0877993158495, C
5,Al Jefferson,CHA,31,47,33,14,1096,0.512773722628,0.223540145985,0.460766423358,48.5,0.0,0.0,0.0,0.0656934306569,0.101277372263,64.9,0.0520072992701,0.222627737226,0.274635036496,0.0638686131387,0.0310218978102,0.0273722627737,0.0374087591241,0.106751824818,0.00638686131387,0.0,0.0419708029197, C
6,Al-Farouq Aminu,POR,25,82,44,38,2341,0.358393848783,0.127723195216,0.307133703545,41.6,0.0538231524989,0.149081589065,36.1,0.0491243058522,0.0666381888082,73.7,0.0418624519436,0.171294318667,0.213156770611,0.0589491670226,0.0512601452371,0.0307560871422,0.0226398974797,0.0730457069628,0.00341734301581,0.0,0.0247757368646, SF
7,Alan Anderson,WAS,33,13,8,5,192,0.338541666667,0.109375,0.307291666667,35.6,0.0625,0.192708333333,32.4,0.0572916666667,0.078125,73.3,0.00520833333333,0.135416666667,0.140625,0.0729166666667,0.0104166666667,0.0208333333333,0.00520833333333,0.130208333333,0.0,0.0,0.15625, SG
8,Alan Williams,PHX,23,10,3,7,68,0.426470588235,0.147058823529,0.352941176471,41.7,0.0,0.0,0.0,0.132352941176,0.205882352941,64.3,0.205882352941,0.352941176471,0.558823529412,0.0735294117647,0.0882352941176,0.0588235294118,0.0735294117647,0.220588235294,0.0147058823529,0.0,0.0147058823529, PF
9,Alec Burks,UTA,24,31,13,18,797,0.516938519448,0.171894604768,0.419071518193,41.0,0.0401505646173,0.099121706399,40.5,0.132998745295,0.176913425345,75.2,0.0200752823087,0.116687578419,0.136762860728,0.0790464240903,0.0639899623588,0.0225846925972,0.00501882057716,0.0890840652447,0.0,0.0,-0.0163111668758, SG
10,Alex Len,PHX,23,78,23,55,1821,0.386051619989,0.144975288303,0.342668863262,42.3,0.00054914881933,0.00384404173531,14.3,0.0955518945634,0.13124656782,72.8,0.0977484898407,0.228445908841,0.326194398682,0.053267435475,0.0796265788029,0.0208676551345,0.0340472267985,0.126304228446,0.0104338275673,0.0,-0.158704008786, C
