,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PosicAbbrev
0,Aaron Brooks,CHI,31,69,36,33,1108,0.4,0.2,0.4,40.1,0.1,0.2,35.7,0.0,0.1,76.6,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0,0,-0.0, PG
1,Aaron Gordon,ORL,20,78,32,46,1863,0.4,0.1,0.3,47.3,0.0,0.1,29.6,0.1,0.1,66.8,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,12,0,-0.0, PF
2,Aaron Harrison,CHA,21,21,15,6,93,0.2,0.1,0.2,26.3,0.0,0.1,30.0,0.1,0.1,41.7,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0,0,-0.1, SG
3,Adreian Payne,MIN,25,52,18,34,486,0.3,0.1,0.3,36.6,0.0,0.1,28.1,0.0,0.1,65.4,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.2,0,0,-0.3, PF
4,Al Horford,ATL,30,82,48,34,2631,0.5,0.2,0.4,50.5,0.0,0.1,34.4,0.0,0.1,79.8,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1,17,0,0.1, C
5,Al Jefferson,CHA,31,47,33,14,1096,0.5,0.2,0.5,48.5,0.0,0.0,0.0,0.1,0.1,64.9,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,7,0,0.0, C
6,Al-Farouq Aminu,POR,25,82,44,38,2341,0.4,0.1,0.3,41.6,0.1,0.1,36.1,0.1,0.1,73.7,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,8,0,0.0, SF
7,Alan Anderson,WAS,33,13,8,5,192,0.3,0.1,0.3,35.6,0.1,0.2,32.4,0.1,0.1,73.3,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.2, SG
8,Alan Williams,PHX,23,10,3,7,68,0.4,0.1,0.3,41.7,0.0,0.0,0.0,0.1,0.2,64.3,0.2,0.3,0.6,0.1,0.1,0.1,0.1,0.2,1,0,0.0, PF
9,Alec Burks,UTA,24,31,13,18,797,0.5,0.2,0.4,41.0,0.0,0.1,40.5,0.1,0.2,75.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.0, SG
10,Alex Len,PHX,23,78,23,55,1821,0.4,0.1,0.3,42.3,0.0,0.0,14.3,0.1,0.1,72.8,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,19,0,-0.2, C
11,Alex Stepheson,MEM,28,8,2,6,72,0.3,0.1,0.4,33.3,0.0,0.0,0.0,0.1,0.2,33.3,0.3,0.1,0.4,0.0,0.0,0.0,0.1,0.2,1,0,-0.0, PF
12,Alexis Ajinca,NOP,28,59,20,39,861,0.4,0.2,0.4,47.6,0.0,0.0,0.0,0.1,0.1,83.9,0.1,0.2,0.3,0.0,0.1,0.0,0.0,0.2,4,0,-0.1, C
13,Allen Crabbe,POR,24,81,43,38,2105,0.4,0.1,0.3,45.9,0.1,0.1,39.3,0.1,0.1,86.7,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.0, SG
14,Alonzo Gee,NOP,29,73,27,46,1632,0.2,0.1,0.2,51.8,0.0,0.0,28.3,0.0,0.0,66.7,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.1, SF
15,Amar'e Stoudemire,MIA,33,52,30,22,762,0.4,0.2,0.3,56.6,0.0,0.0,0.0,0.1,0.1,74.6,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,2,0,0.0, C
16,Amir Johnson,BOS,29,79,45,34,1800,0.3,0.1,0.2,58.5,0.0,0.0,23.3,0.0,0.1,57.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.1,8,0,0.1, PF
17,Anderson Varejao,GSW,33,53,41,12,496,0.3,0.1,0.3,42.7,0.0,0.0,0.0,0.1,0.1,64.0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0,0,0.0, C
18,Andre Drummond,DET,22,81,43,38,2666,0.5,0.2,0.4,52.1,0.0,0.0,33.3,0.1,0.2,35.5,0.1,0.3,0.5,0.0,0.1,0.0,0.0,0.1,66,0,0.1, C
