,0
0,1
1,2
2,3
3,2
4,5
5,5
6,4
7,3
8,2
9,3
10,5
11,2
12,5
13,3
14,4
15,5
16,2
17,5
18,5
19,4
20,1
21,4
22,5
23,5
24,1
25,2
26,4
27,2
28,4
29,2
30,3
31,2
32,3
33,5
34,3
35,1
36,3
37,3
38,3
39,1
40,5
41,2
42,5
43,2
44,3
45,5
46,3
47,2
48,4
49,2
50,1
51,1
52,3
53,1
54,1
55,5
56,4
57,1
58,3
59,3
60,4
61,1
62,3
63,2
64,1
65,2
66,4
67,4
68,4
69,2
70,2
71,2
72,4
73,2
74,2
75,4
76,4
77,5
78,2
79,1
80,2
81,4
82,2
83,5
84,5
85,5
86,4
87,2
88,1
89,2
90,3
91,2
92,1
93,1
94,3
95,1
96,4
97,4
98,4
99,3
100,2
101,2
102,1
103,3
104,2
105,2
106,5
107,5
108,3
109,2
110,4
111,1
112,1
113,1
114,2
115,1
116,2
117,3
118,1
119,4
120,5
121,3
122,2
123,1
124,2
125,4
126,2
127,2
128,2
129,5
130,2
131,3
132,3
133,2
134,1
135,3
136,3
137,2
138,1
139,5
140,1
141,3
142,2
143,1
144,2
145,3
146,3
147,5
148,5
149,3
150,3
151,1
152,1
153,4
154,3
155,4
156,3
157,1
158,4
159,2
160,5
161,2
162,1
163,4
164,5
165,5
166,4
167,3
168,5
169,3
170,1
171,1
172,1
173,4
174,3
175,5
176,3
177,3
178,2
179,5
180,2
181,4
182,5
183,3
184,1
185,3
186,4
187,3
188,2
189,3
190,4
191,3
192,3
193,4
194,5
195,3
196,2
197,2
198,1
199,2
200,3
201,2
202,2
203,4
204,1
205,5
206,4
207,4
208,3
209,1
210,1
211,1
212,1
213,4
214,5
215,3
216,4
217,4
218,4
219,1
220,5
221,5
222,5
223,3
224,1
225,2
226,2
227,2
228,5
229,3
230,3
231,1
232,1
233,3
234,2
235,3
236,2
237,1
238,1
239,1
240,4
241,2
242,3
243,5
244,1
245,2
246,3
247,2
248,3
249,4
250,5
251,3
252,5
253,4
254,1
255,5
256,4
257,1
258,1
259,5
260,2
261,4
262,3
263,4
264,2
265,2
266,3
267,5
268,4
269,3
270,3
271,3
272,4
273,5
274,4
275,2
276,2
277,3
278,3
279,1
280,5
281,4
282,1
283,2
284,3
285,3
286,4
287,3
288,2
289,2
290,4
291,3
292,1
293,2
294,3
295,2
296,5
297,3
298,2
299,4
300,4
301,3
302,5
303,1
304,5
305,3
306,2
307,1
308,3
309,1
310,3
311,3
312,2
313,5
314,2
315,5
316,4
317,5
318,1
319,4
320,4
321,2
322,4
323,1
324,4
325,1
326,3
327,3
328,2
329,2
330,5
331,2
332,2
333,1
334,3
335,2
336,5
337,1
338,5
339,2
340,5
341,2
342,2
343,3
344,3
345,3
346,2
347,2
348,5
349,5
350,2
351,3
352,1
353,3
354,5
355,4
356,3
357,4
358,4
359,4
360,1
361,3
362,1
363,2
364,1
365,5
366,4
367,2
368,4
369,1
370,4
371,3
372,1
373,2
374,1
375,3
376,3
377,4
378,1
379,1
380,1
381,4
382,1
383,4
384,2
385,1
386,4
387,5
388,5
389,3
390,1
391,4
392,1
393,5
394,4
395,5
396,1
397,1
398,2
399,5
400,2
401,5
402,4
403,5
404,3
405,3
406,2
407,3
408,3
409,4
410,1
411,1
412,1
413,2
414,1
415,4
416,3
417,1
418,2
419,4
420,1
421,1
422,4
423,5
424,1
425,4
426,2
427,5
428,4
429,2
430,4
431,1
432,4
433,2
434,4
435,2
436,5
437,5
438,5
439,1
440,3
441,5
442,4
443,1
444,3
445,1
446,3
447,3
448,4
449,2
450,1
451,2
452,5
453,3
454,1
455,1
456,2
457,3
458,5
459,3
460,5
461,1
462,2
463,3
464,3
465,5
466,3
467,4
468,3
469,3
470,5
471,2
472,1
473,1
474,2
475,5
