RK,NAME,POSITION,TEAM,SALARY,SALARY
1,Kobe Bryant, SF,Los Angeles Lakers,25000000,"$25,000,000.00"
2,LeBron James, SF,Cleveland Cavaliers,22970500,"$22,970,500.00"
3,Carmelo Anthony, SF,New York Knicks,22875000,"$22,875,000.00"
4,Dwight Howard, C,Houston Rockets,22359364,"$22,359,364.00"
5,Chris Bosh, PF,Miami Heat,22192730,"$22,192,730.00"
6,Chris Paul, PG,LA Clippers,21468695,"$21,468,695.00"
7,Kevin Durant, SF,Oklahoma City Thunder,20158622,"$20,158,622.00"
8,Derrick Rose, PG,Chicago Bulls,20093064,"$20,093,064.00"
9,Dwyane Wade, SG,Miami Heat,20000000,"$20,000,000.00"
10,LaMarcus Aldridge, PF,San Antonio Spurs,19689000,"$19,689,000.00"
11,Kevin Love, PF,Cleveland Cavaliers,19689000,"$19,689,000.00"
12,Marc Gasol, C,Memphis Grizzlies,19688000,"$19,688,000.00"
13,Blake Griffin, PF,LA Clippers,18907726,"$18,907,726.00"
14,Paul Millsap, PF,Atlanta Hawks,18671659,"$18,671,659.00"
15,Paul George, SF,Indiana Pacers,17120106,"$17,120,106.00"
16,Russell Westbrook, PG,Oklahoma City Thunder,16744218,"$16,744,218.00"
17,Kyrie Irving, PG,Cleveland Cavaliers,16407501,"$16,407,501.00"
18,Kawhi Leonard, SF,San Antonio Spurs,16407500,"$16,407,500.00"
19,Enes Kanter, C,Oklahoma City Thunder,16407500,"$16,407,500.00"
20,Jimmy Butler, SF,Chicago Bulls,16407500,"$16,407,500.00"
21,Tobias Harris, SF,Orlando Magic,16000000,"$16,000,000.00"
22,John Wall, PG,Washington Wizards,15851950,"$15,851,950.00"
23,DeMarcus Cousins, PF,Sacramento Kings,15851950,"$15,851,950.00"
24,James Harden, SG,Houston Rockets,15756438,"$15,756,438.00"
25,Roy Hibbert, C,Los Angeles Lakers,15592217,"$15,592,217.00"
26,Eric Gordon, SG,New Orleans Pelicans,15514031,"$15,514,031.00"
27,Klay Thompson, SG,Golden State Warriors,15501000,"$15,501,000.00"
28,Gordon Hayward, SF,Utah Jazz,15409570,"$15,409,570.00"
29,Chandler Parsons, SF,Dallas Mavericks,15361500,"$15,361,500.00"
30,Goran Dragic, PG,Miami Heat,14783000,"$14,783,000.00"
31,Khris Middleton, SG,Milwaukee Bucks,14700000,"$14,700,000.00"
32,Draymond Green, PF,Golden State Warriors,14260870,"$14,260,870.00"
33,Tristan Thompson, C,Cleveland Cavaliers,14260870,"$14,260,870.00"
34,Danilo Gallinari, SF,Denver Nuggets,14000000,"$14,000,000.00"
35,Reggie Jackson, PG,Detroit Pistons,13913044,"$13,913,044.00"
36,Andrew Bogut, C,Golden State Warriors,13800000,"$13,800,000.00"
37,DeMarre Carroll, SF,Toronto Raptors,13600000,"$13,600,000.00"
38,Brandon Knight, PG,Phoenix Suns,13500000,"$13,500,000.00"
39,Eric Bledsoe, PG,Phoenix Suns,13500000,"$13,500,000.00"
40,Al Jefferson, C,Charlotte Hornets,13500000,"$13,500,000.00"
41,Tony Parker, PG,San Antonio Spurs,13437500,"$13,437,500.00"
42,Joakim Noah, C,Chicago Bulls,13400000,"$13,400,000.00"
43,Nicolas Batum, SG,Charlotte Hornets,13125306,"$13,125,306.00"
44,Tyson Chandler, C,Phoenix Suns,13000000,"$13,000,000.00"
45,Nene Hilario, C,Washington Wizards,13000000,"$13,000,000.00"
46,Ricky Rubio, PG,Minnesota Timberwolves,12700000,"$12,700,000.00"
47,Robin Lopez, C,New York Knicks,12650000,"$12,650,000.00"
48,Rudy Gay, SF,Sacramento Kings,12403101,"$12,403,101.00"
49,Serge Ibaka, PF,Oklahoma City Thunder,12250000,"$12,250,000.00"
50,Nikola Pekovic, C,Minnesota Timberwolves,12100000,"$12,100,000.00"
51,Kemba Walker, PG,Charlotte Hornets,12000000,"$12,000,000.00"
52,Al Horford, C,Atlanta Hawks,12000000,"$12,000,000.00"
53,Andre Iguodala, SF,Golden State Warriors,11710456,"$11,710,456.00"
54,Stephen Curry, PG,Golden State Warriors,11370786,"$11,370,786.00"
55,Nikola Vucevic, C,Orlando Magic,11250000,"$11,250,000.00"
56,Thaddeus Young, PF,Brooklyn Nets,11235955,"$11,235,955.00"
57,Kenneth Faried, PF,Denver Nuggets,11235955,"$11,235,955.00"
58,Marcin Gortat, C,Washington Wizards,11217391,"$11,217,391.00"
59,Tyreke Evans, SG,New Orleans Pelicans,10734586,"$10,734,586.00"
60,Jrue Holiday, PG,New Orleans Pelicans,10595507,"$10,595,507.00"
61,Brendan Haywood, C,Portland Trail Blazers,10522500,"$10,522,500.00"
62,Wilson Chandler, SF,Denver Nuggets,10449438,"$10,449,438.00"
63,Monta Ellis, SG,Indiana Pacers,10300000,"$10,300,000.00"
64,Luol Deng, SF,Miami Heat,10151612,"$10,151,612.00"
65,Gerald Wallace, SF,Philadelphia 76ers,10105855,"$10,105,855.00"
66,DeMar DeRozan, SG,Toronto Raptors,10050000,"$10,050,000.00"
67,Danny Green, SG,San Antonio Spurs,10000000,"$10,000,000.00"
68,Tiago Splitter, C,Atlanta Hawks,9756250,"$9,756,250.00"
69,Jeff Green, SF,Memphis Grizzlies,9650000,"$9,650,000.00"
70,Zach Randolph, PF,Memphis Grizzlies,9638555,"$9,638,555.00"
71,Mike Conley, PG,Memphis Grizzlies,9588426,"$9,588,426.00"
72,Rajon Rondo, PG,Sacramento Kings,9500000,"$9,500,000.00"
73,Alec Burks, SG,Utah Jazz,9463484,"$9,463,484.00"
74,Omer Asik, C,New Orleans Pelicans,9213483,"$9,213,483.00"
75,Lance Stephenson, SG,Memphis Grizzlies,9000000,"$9,000,000.00"
76,Iman Shumpert, SG,Cleveland Cavaliers,8988765,"$8,988,765.00"
77,Kevin Garnett, PF,Minnesota Timberwolves,8500000,"$8,500,000.00"
78,Taj Gibson, PF,Chicago Bulls,8500000,"$8,500,000.00"
79,Brandon Jennings, PG,Orlando Magic,8344497,"$8,344,497.00"
80,Dirk Nowitzki, PF,Dallas Mavericks,8333334,"$8,333,334.00"
81,Corey Brewer, SF,Houston Rockets,8229375,"$8,229,375.00"
82,Trevor Ariza, SF,Houston Rockets,8193030,"$8,193,030.00"
83,Channing Frye, PF,Orlando Magic,8193029,"$8,193,029.00"
84,Al-Farouq Aminu, SF,Portland Trail Blazers,8042895,"$8,042,895.00"
85,Markieff Morris, PF,Washington Wizards,8000000,"$8,000,000.00"
86,Arron Afflalo, SG,New York Knicks,8000000,"$8,000,000.00"
87,Jeff Teague, PG,Atlanta Hawks,8000000,"$8,000,000.00"
88,Ersan Ilyasova, PF,Orlando Magic,7900000,"$7,900,000.00"
89,Avery Bradley, SG,Boston Celtics,7730337,"$7,730,337.00"
90,Kosta Koufos, C,Sacramento Kings,7700000,"$7,700,000.00"
91,Boris Diaw, C,San Antonio Spurs,7500000,"$7,500,000.00"
92,Pau Gasol, C,Chicago Bulls,7448760,"$7,448,760.00"
93,Jose Calderon, PG,New York Knicks,7402812,"$7,402,812.00"
94,J.J. Redick, SG,LA Clippers,7085000,"$7,085,000.00"
95,Anthony Davis, PF,New Orleans Pelicans,7070730,"$7,070,730.00"
96,Marvin Williams, PF,Charlotte Hornets,7000000,"$7,000,000.00"
97,Louis Williams, SG,Los Angeles Lakers,7000000,"$7,000,000.00"
98,Rodney Stuckey, PG,Indiana Pacers,7000000,"$7,000,000.00"
99,Ed Davis, PF,Portland Trail Blazers,6980802,"$6,980,802.00"
100,Isaiah Thomas, PG,Boston Celtics,6912869,"$6,912,869.00"
101,Jae Crowder, SF,Boston Celtics,6796117,"$6,796,117.00"
102,Greivis Vasquez, PG,Milwaukee Bucks,6600000,"$6,600,000.00"
103,Carl Landry, PF,Philadelphia 76ers,6500000,"$6,500,000.00"
104,Aron Baynes, C,Detroit Pistons,6500000,"$6,500,000.00"
105,Patrick Beverley, PG,Houston Rockets,6486486,"$6,486,486.00"
106,Michael Kidd-Gilchrist, SF,Charlotte Hornets,6331404,"$6,331,404.00"
107,Jarrett Jack, PG,Brooklyn Nets,6300000,"$6,300,000.00"
108,Jodie Meeks, SG,Detroit Pistons,6270000,"$6,270,000.00"
109,Patrick Patterson, PF,Toronto Raptors,6268675,"$6,268,675.00"
110,Spencer Hawes, PF,Charlotte Hornets,6110034,"$6,110,034.00"
111,Marco Belinelli, SG,Sacramento Kings,6060606,"$6,060,606.00"
112,Gerald Henderson, SG,Portland Trail Blazers,6000000,"$6,000,000.00"
113,Andrew Wiggins, SF,Minnesota Timberwolves,5758680,"$5,758,680.00"
114,Kyle Korver, SG,Atlanta Hawks,5746479,"$5,746,479.00"
115,Karl-Anthony Towns, C,Minnesota Timberwolves,5703600,"$5,703,600.00"
116,Bradley Beal, SG,Washington Wizards,5694674,"$5,694,674.00"
117,Courtney Lee, SG,Charlotte Hornets,5675000,"$5,675,000.00"
118,Jamal Crawford, SG,LA Clippers,5675000,"$5,675,000.00"
119,Martell Webster, SF,Washington Wizards,5613500,"$5,613,500.00"
120,Shaun Livingston, PG,Golden State Warriors,5543725,"$5,543,725.00"
121,Josh McRoberts, PF,Miami Heat,5543725,"$5,543,725.00"
122,Nikola Mirotic, PF,Chicago Bulls,5543725,"$5,543,725.00"
123,P.J. Tucker, SF,Phoenix Suns,5500000,"$5,500,000.00"
124,Mirza Teletovic, PF,Phoenix Suns,5500000,"$5,500,000.00"
125,Brandan Wright, PF,Memphis Grizzlies,5464000,"$5,464,000.00"
126,Deron Williams, PG,Dallas Mavericks,5378974,"$5,378,974.00"
127,Tim Duncan, C,San Antonio Spurs,5250000,"$5,250,000.00"
128,Nick Young, SG,Los Angeles Lakers,5219169,"$5,219,169.00"
129,Zaza Pachulia, C,Dallas Mavericks,5200000,"$5,200,000.00"
130,Victor Oladipo, SG,Orlando Magic,5192520,"$5,192,520.00"
131,Tony Allen, SG,Memphis Grizzlies,5158539,"$5,158,539.00"
132,Jabari Parker, PF,Milwaukee Bucks,5152440,"$5,152,440.00"
133,Dion Waiters, SG,Oklahoma City Thunder,5138430,"$5,138,430.00"
134,D'Angelo Russell, PG,Los Angeles Lakers,5103120,"$5,103,120.00"
135,Chris Kaman, C,Portland Trail Blazers,5016000,"$5,016,000.00"
136,Darren Collison, PG,Sacramento Kings,5013559,"$5,013,559.00"
137,Chris Andersen, PF,Memphis Grizzlies,5000000,"$5,000,000.00"
138,C.J. Watson, PG,Orlando Magic,5000000,"$5,000,000.00"
139,Jonas Jerebko, PF,Boston Celtics,5000000,"$5,000,000.00"
140,Timofey Mozgov, C,Cleveland Cavaliers,4950000,"$4,950,000.00"
141,Trevor Booker, PF,Utah Jazz,4775000,"$4,775,000.00"
142,Otto Porter Jr., SF,Washington Wizards,4662960,"$4,662,960.00"
143,Jonas Valanciunas, C,Toronto Raptors,4660482,"$4,660,482.00"
144,Joel Embiid, C,Philadelphia 76ers,4626960,"$4,626,960.00"
145,Jahlil Okafor, C,Philadelphia 76ers,4582680,"$4,582,680.00"
146,Kyle Singler, SF,Oklahoma City Thunder,4500000,"$4,500,000.00"
147,Mike Dunleavy, SG,Chicago Bulls,4500000,"$4,500,000.00"
148,C.J. Miles, SF,Indiana Pacers,4394225,"$4,394,225.00"
149,Alexis Ajinca, C,New Orleans Pelicans,4389607,"$4,389,607.00"
150,Jared Dudley, SF,Washington Wizards,4375000,"$4,375,000.00"
151,Jameer Nelson, PG,Denver Nuggets,4345000,"$4,345,000.00"
152,Mario Chalmers, PG,Memphis Grizzlies,4300000,"$4,300,000.00"
153,Jason Smith, PF,Orlando Magic,4300000,"$4,300,000.00"
154,J.J. Barea, PG,Dallas Mavericks,4290000,"$4,290,000.00"
155,Damian Lillard, PG,Portland Trail Blazers,4236287,"$4,236,287.00"
156,Cody Zeller, C,Charlotte Hornets,4204200,"$4,204,200.00"
157,Aaron Gordon, PF,Orlando Magic,4171680,"$4,171,680.00"
158,Kristaps Porzingis, PF,New York Knicks,4131720,"$4,131,720.00"
159,Vince Carter, SG,Memphis Grizzlies,4088019,"$4,088,019.00"
160,Devin Harris, PG,Dallas Mavericks,4053446,"$4,053,446.00"
161,Lavoy Allen, PF,Indiana Pacers,4050000,"$4,050,000.00"
162,Ian Mahinmi, C,Indiana Pacers,4000000,"$4,000,000.00"
163,Jordan Hill, PF,Indiana Pacers,4000000,"$4,000,000.00"
164,Thabo Sefolosha, SF,Atlanta Hawks,4000000,"$4,000,000.00"
165,Raymond Felton, PG,Dallas Mavericks,3950313,"$3,950,313.00"
166,Nemanja Bjelica, PF,Minnesota Timberwolves,3950001,"$3,950,001.00"
167,Harrison Barnes, SF,Golden State Warriors,3873398,"$3,873,398.00"
168,Marreese Speights, C,Golden State Warriors,3815000,"$3,815,000.00"
169,Alex Len, C,Phoenix Suns,3807120,"$3,807,120.00"
170,Dante Exum, PG,Utah Jazz,3777720,"$3,777,720.00"
171,Nick Collison, PF,Oklahoma City Thunder,3750000,"$3,750,000.00"
172,Kyle O'Quinn, C,New York Knicks,3750000,"$3,750,000.00"
173,Mario Hezonja, SG,Orlando Magic,3741480,"$3,741,480.00"
174,Patty Mills, PG,San Antonio Spurs,3578947,"$3,578,947.00"
175,Terrence Ross, SF,Toronto Raptors,3553917,"$3,553,917.00"
176,Matt Barnes, SF,Memphis Grizzlies,3542500,"$3,542,500.00"
177,Will Barton, SG,Denver Nuggets,3533333,"$3,533,333.00"
178,Nerlens Noel, PF,Philadelphia 76ers,3457800,"$3,457,800.00"
179,Marcus Smart, PG,Boston Celtics,3431040,"$3,431,040.00"
180,Evan Turner, SG,Boston Celtics,3425510,"$3,425,510.00"
181,Bojan Bogdanovic, SG,Brooklyn Nets,3425510,"$3,425,510.00"
182,Willie Cauley-Stein, C,Sacramento Kings,3398280,"$3,398,280.00"
183,Quincy Pondexter, SG,New Orleans Pelicans,3382023,"$3,382,023.00"
184,Paul Pierce, SF,LA Clippers,3376000,"$3,376,000.00"
185,Anthony Morrow, SG,Oklahoma City Thunder,3344000,"$3,344,000.00"
186,Mike Scott, PF,Atlanta Hawks,3333333,"$3,333,333.00"
187,Drew Gooden, PF,Washington Wizards,3300000,"$3,300,000.00"
188,Andre Drummond, C,Detroit Pistons,3272091,"$3,272,091.00"
189,K.J. McDaniels, SG,Houston Rockets,3189794,"$3,189,794.00"
190,Ben McLemore, SG,Sacramento Kings,3156600,"$3,156,600.00"
191,Randy Foye, SG,Oklahoma City Thunder,3135000,"$3,135,000.00"
192,Julius Randle, PF,Los Angeles Lakers,3132240,"$3,132,240.00"
193,Austin Rivers, PG,LA Clippers,3110796,"$3,110,796.00"
194,Emmanuel Mudiay, PG,Denver Nuggets,3102240,"$3,102,240.00"
195,Meyers Leonard, PF,Portland Trail Blazers,3075880,"$3,075,880.00"
196,Norris Cole, PG,New Orleans Pelicans,3036927,"$3,036,927.00"
197,Jeremy Lamb, SG,Charlotte Hornets,3034356,"$3,034,356.00"
198,Anthony Tolliver, PF,Detroit Pistons,3000000,"$3,000,000.00"
199,Brandon Bass, PF,Los Angeles Lakers,3000000,"$3,000,000.00"
200,John Henson, C,Milwaukee Bucks,2943221,"$2,943,221.00"
201,Tibor Pleiss, C,Utah Jazz,2900000,"$2,900,000.00"
202,Luis Scola, PF,Toronto Raptors,2900000,"$2,900,000.00"
203,Maurice Harkless, SF,Portland Trail Blazers,2894059,"$2,894,059.00"
204,Kentavious Caldwell-Pope, SG,Detroit Pistons,2891760,"$2,891,760.00"
205,Nik Stauskas, SG,Philadelphia 76ers,2869440,"$2,869,440.00"
206,Brian Roberts, PG,Charlotte Hornets,2854940,"$2,854,940.00"
207,Kirk Hinrich, SG,Chicago Bulls,2854940,"$2,854,940.00"
208,Dante Cunningham, PF,New Orleans Pelicans,2850000,"$2,850,000.00"
209,Stanley Johnson, SF,Detroit Pistons,2841960,"$2,841,960.00"
210,Furkan Aldemir, PF,Philadelphia 76ers,2836768,"$2,836,768.00"
211,Omri Casspi, SF,Sacramento Kings,2836186,"$2,836,186.00"
212,Sonny Weems, SG,Phoenix Suns,2814000,"$2,814,000.00"
213,Manu Ginobili, SG,San Antonio Spurs,2814000,"$2,814,000.00"
214,Kevin Seraphin, C,New York Knicks,2814000,"$2,814,000.00"
215,Darrell Arthur, PF,Denver Nuggets,2814000,"$2,814,000.00"
