Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
MEI,Guilherme,22,18,69,2,1,5,8,4,0,0,14,16,0,2,0,0,0,0
MEI,Marlone,17,23,34,3,0,6,8,4,0,0,12,5,0,0,0,0,0,0
LAT,Carlos Cesar,20,16,55,1,0,0,3,2,0,0,36,35,0,3,0,0,0,0
MEI,Otero,9,23,14,2,1,3,8,1,0,0,9,15,0,4,0,0,0,0
GOL,Vanderlei,29,8,8,0,0,0,0,0,0,0,0,1,0,0,1,53,0,26
ZAG,Thiego,26,22,76,0,1,3,11,5,2,0,23,23,0,3,2,0,0,0
GOL,Victor,27,3,19,0,0,0,0,0,0,0,1,0,0,1,0,35,0,35
ATA,Kempes,20,23,32,2,0,10,15,7,13,0,11,45,0,2,0,0,0,0
ATA,Ananias,12,14,27,0,0,4,4,2,1,0,15,16,0,3,0,0,0,0
LAT,Dener Assunção,22,24,69,0,0,3,7,2,2,0,27,26,0,1,0,0,0,0
ATA,Grafite,25,32,49,2,1,19,15,10,31,1,5,56,0,5,0,0,0,0
ZAG,Leonardo Silva,23,39,54,0,0,3,10,0,1,0,30,31,0,3,0,0,0,0
ZAG,Juninho,29,24,94,1,1,8,11,1,0,0,49,35,1,4,0,0,0,0
LAT,Nino Paraíba,19,30,65,2,0,9,5,0,0,0,22,27,0,1,0,0,0,0
ZAG,Kannemann,8,7,10,0,0,0,0,0,1,0,9,13,0,4,0,0,0,0
LAT,Edílson,23,29,115,2,1,12,10,1,0,0,39,44,0,8,1,0,0,0
LAT,Patric,16,5,38,4,1,8,3,2,4,0,10,16,0,1,0,0,0,0
TEC,Marcelo Oliveira,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA,Lucas Pratto,14,14,37,1,1,4,5,3,2,0,4,13,0,1,0,0,0,0
LAT,Alan Ruschel,3,3,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
ATA,Keno,27,51,103,5,0,12,27,9,13,0,30,22,0,3,0,0,0,0
MEI,Anselmo,10,5,20,0,0,1,3,0,0,0,18,18,0,5,0,0,0,0
LAT,Victor Luis,14,18,38,4,0,0,7,0,0,0,30,14,0,4,0,0,0,0
